,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,-80,75,55,135,,,,,1,-70.0,red45,,479.29770022635967,10.0,0,0,472.45900573628387,3,green135
1,80,75,55,45,,,,,1,70.0,red135,,486.39784146866259,10.0,0,0,479.55258934601989,0,red45
2,-80,75,55,45,,,,,1,-70.0,green45,,492.99801446162019,-10.0,0,0,486.65168153388368,2,green45
3,80,75,55,135,s,0.0,2.8335345277137094,-1.0,1,70.0,green135,1.0,500.0981499310783,10.0,0,0,493.25300396466082,1,red135
4,80,75,55,45,s,1.0,1.858620430872179,-1.0,1,75.0,red135,-1.0,507.1982863626763,-10.0,0,0,500.35612527845842,0,red45
5,80,75,55,45,,,,,1,75.0,red45,,514.29835704797006,-10.0,0,0,507.4558511965497,0,red45
6,80,75,55,45,f,0.0,3.041875584900481,1.0,1,75.0,red45,-1.0,520.89856050872731,-10.0,0,0,514.5572182065298,0,red45
7,-80,75,55,45,s,1.0,2.1585669358300947,-1.0,1,-70.0,green45,-1.0,527.49875691378475,-10.0,0,0,521.15584535956077,2,green45
8,80,75,55,45,,,,,1,80.0,red45,,534.59884812475502,-10.0,0,0,527.75949232307539,0,red45
9,80,75,55,135,s,0.0,0.90851546128578775,-1.0,1,80.0,red135,1.0,541.19902143842592,10.0,0,0,534.85942606363096,1,red135
10,80,75,55,135,,,,,2,83.75,green45,,547.79903631954039,-10.0,0,0,541.45984889254214,1,red135
11,-80,75,55,135,s,0.0,2.3335765412048204,-1.0,2,-70.0,red135,1.0,554.90750906176436,10.0,0,0,548.0612457288953,3,green135
12,80,75,55,135,,,,,2,83.75,green135,,562.00758135062642,-10.0,0,0,555.1659690075121,1,red135
13,-80,75,55,135,f,1.0,2.4002234091494756,1.0,1,-70.0,red135,1.0,568.61614004411604,-10.0,0,0,562.27060890057328,3,green135
14,-80,75,55,135,s,0.0,1.4918394404703577,-1.0,2,-70.0,green135,-1.0,575.72462240774985,-10.0,0,0,568.88206524214183,3,green135
15,-80,75,55,135,s,1.0,0.95020567368010234,-1.0,1,-70.0,green135,-1.0,582.33302010297484,-10.0,0,0,575.98944467143701,3,green135
16,80,75,55,45,s,1.0,1.0585328118941106,-1.0,1,83.75,red45,-1.0,588.94148418592886,-10.0,0,0,582.59861945590274,0,red45
17,-80,75,55,135,s,0.0,1.3752019694384217,-1.0,2,-65.0,green135,1.0,595.54992389464314,10.0,0,0,589.20494983075878,3,green135
18,-80,75,55,135,s,0.0,1.383501077278197,-1.0,1,-65.0,green45,1.0,602.15836713120916,-10.0,0,0,595.8148215260444,3,green135
19,-80,75,55,45,f,0.0,1.2418675029166479,1.0,1,-70.0,green45,-1.0,609.26688445263426,10.0,0,0,602.42487602812798,2,green45
20,-80,75,55,45,,,,,1,-75.0,red135,,616.37526835716926,10.0,0,0,609.53138183336523,2,green45
21,-80,75,55,135,,,,,1,-75.0,green135,,622.98371287658847,-10.0,0,0,616.64493692523865,3,green135
22,-80,75,55,135,,,,,2,-75.0,green135,,630.09214200175302,10.0,0,0,623.24963326390753,3,green135
23,-80,75,55,135,,,,,1,-75.0,green45,,636.70058748331394,10.0,0,0,630.35946294570203,3,green135
24,80,75,55,135,,,,,2,83.75,red135,,643.81743149395516,-10.0,0,0,636.97132659364252,1,red135
25,-80,75,55,135,,,,,2,-75.0,green45,,650.42584875271314,10.0,0,0,644.08644420255405,3,green135
26,-80,75,55,135,,,,,1,-75.0,red135,,652.43411354418822,-10.0,0,0,650.69993515169517,3,green135
